"Genes","Rank"
"C12orf65",1546
"PLEKHM1",1545
"SPRR1B",1544
"C19orf18",1543
"CHMP1A",1542
"PLXNC1",1541
"COLCA2",1540
"C6orf203",1539
"MAU2",1538
"MAP6",1537
"KIAA1191",1536
"CLECL1",1535
"RGAG4",1534
"KCNJ6",1533
"CEPT1",1532
"GDF15",1531
"VSTM2L",1530
"ALDH3B2",1529
"TRERF1",1528
"CEP57L1",1527
"MRPL11",1526
"ALKBH7",1525
"TMEM256",1524
"FAM104B",1523
"PIK3R4",1522
"MRPL36",1521
"TMEM168",1520
"MRP63",1519
"MIF",1518
"GLA",1517
"GADD45GIP1",1516
"ATP6V0D2",1515
"NKD1",1514
"PROX1",1513
"AGFG1",1512
"DISC1",1511
"BTN3A3",1510
"SPN",1509
"XBP1",1508
"BDP1",1507
"ZNF621",1506
"LPHN3",1505
"AC093323.3",1504
"SPTBN5",1503
"AKIP1",1502
"FBXL2",1501
"AKAP8L",1500
"ZNF484",1499
"NRD1",1498
"REL",1497
"PRDM15",1496
"ZXDC",1495
"ZNF41",1494
"KLRC2",1493
"TRIP12",1492
"MPPE1",1491
"DENND1B",1490
"LRIG3",1489
"PQLC3",1488
"YRDC",1487
"RBM15",1486
"VPS13D",1485
"USP14",1484
"RAPH1",1483
"DNM2",1482
"FBP1",1481
"DNAAF3",1480
"CEP97",1479
"FRRS1",1478
"PTPRR",1477
"KIAA1143",1476
"BRSK1",1475
"TSEN54",1474
"NOTCH2NL",1473
"ACY3",1472
"SCARB2",1471
"NIPAL2",1470
"POGLUT1",1469
"CDKL1",1468
"CFTR",1467
"CPD",1466
"LTBR",1465
"FAM69C",1464
"GRK5",1463
"MRPS33",1462
"OAT",1461
"PCDHB10.1",1460
"APH1B",1459
"EIF2D",1458
"RPH3AL",1457
"LSM3",1456
"NUMA1",1455
"SPATC1L",1454
"DHX40",1453
"KAT7",1452
"GNPAT",1451
"SGPP2",1450
"SPECC1L",1449
"ACSS2",1448
"RILPL1",1447
"CASC4",1446
"BRPF1",1445
"ZNF467",1444
