"Genes","Rank"
"PCNT",8
"FAM83C",54
"NDUFA4L2",60
"HS6ST1",79
"POMP",306
"CHD2",335
"SLMAP",349
"TTPA",361
"RET",362
"SLC2A11",384
"MYPOP",471
"PPP2R1A",477
"KLHL13",483
"PTPN18",486
"DYNLRB1",489
"SRSF11",492
"ZRANB2",502
"VWF",508
"COL5A3",509
"CCDC85C",514
"GJB2",515
"HIST1H2BM",518
"SNRPG",519
"NDUFAB1",522
"SAMD4B",528
"GPN3",532
"RASD1",535
"GPR83",538
"MRS2P2",550
"PNISR",551
"PRR12",555
"WEE2",566
"EEF1D",582
"C9orf142",585
"PUS3",587
"THYN1",589
"LAMTOR2",594
"ASPHD2",596
"CROCCP3",598
"SULT2B1",601
"DCAF15",602
"OCEL1",607
"KCNV2",609
"OCLM",618
"C14orf178",623
"YLPM1",637
"KANSL3",639
"TSSK4",642
"ZC3H11A",648
"CCDC101",649
"CCNA2",651
"AP3D1",652
"ARCN1",654
"AP1S3",657
"C7orf57",661
"AOAH",662
"PSTPIP1",663
"ARPC1B",666
"FAM208A",678
"ANKRD13B",689
"FOXD4L6",694
"CDK3",696
"PVRIG",699
"BPTF",703
"BTBD7",715
"SERPINB3",716
"THAP3",726
"MRPL52",727
"RPL11",728
"TCEB1",729
"IL16",730
"SCIMP",733
"GSK3A",734
"GRWD1",740
"AKT1",743
"IQUB",751
"MIA3",752
"CAPN12",757
"S100P",760
"CLPP",773
"RAD54L2",774
"ATG2B",783
"CTD.2547E10.2.1",790
"AGO1",794
"KCNK4",803
"NDST3",805
"ARHGEF26",806
"CELF2",808
"CYFIP2",809
"ITGAL",812
"ADRBK1",813
"KIAA1919",818
"CASC10",819
"BTAF1",820
"EPG5",826
"GOLGB1",832
"SNRNP200",834
"FBLN2",837
"ARHGAP25",839
"FBXO30",848
"PINX1",850
"CMTM7",851
"MBLAC1",852
"NEDD8",853
"TBCA",854
"ATP6V1F",856
"DPY30",857
"NLGN2",859
"COL18A1",860
"KIRREL",863
"CALHM2",864
"RASIP1",867
"OAZ2",868
"FBXO22",870
"NCAPH2",873
"SNX29P2",874
"KANSL1",876
"ADAM17",879
"ALMS1",880
"ACVR2B.AS1",882
"CBWD2",884
"MDM4",885
"ARID4A",886
"LINC00893",888
"C1QTNF6",891
"HAR1B",897
"TAF10",899
"C12orf45",901
"COX7B",902
"SARNP",905
"COA6",906
"FAU",908
"ZBTB8OS",910
"DYNLT1",912
"LINC00116",917
"NDUFS7",919
"CLEC18C",931
"PCDH19",933
"WASF3",934
"LAMA1",937
"LAMC1",938
"POMC",954
"VN1R1",955
"NDUFS8",958
"RPS21",959
"ATP5O",960
"CXorf65",961
"AGAP6",962
"ETV3L",964
"RNF113B",968
"ALDOB",971
"APLP1",973
"ENPEP",974
"FOLH1",975
"CLDN23",982
"DNAJC13",984
"USH1G",985
"SLC10A6",989
"LTB4R2",996
"FAN1",997
"SMG1",999
"AQR",1000
"C6",1003
"ZDHHC1",1008
"RNF150",1018
"PAIP1",1019
"B3GNT1",1021
"DHX36",1029
"GPATCH8",1032
"C1orf177",1035
"S100A8",1037
"HNRNPU.AS1",1041
"GOLGA6L10",1044
"IL20RB",1045
"POU3F1",1046
"DSC2",1053
"AC009501.4",1055
"ZNF44",1058
"NAA60",1062
"ZNF174",1063
"RPL36AL",1068
"MYL12B",1071
"RPL32",1073
"IL21R",1074
"ARHGEF6",1077
"LPXN",1078
"TTR",1081
"GRHL3",1088
"DAPL1",1090
"KIAA2018",1092
"DDX17",1093
"C19orf43",1095
"ATP5D",1099
"NDUFA4",1100
"COX17",1102
"NDUFAF4",1103
"LSM7",1109
"PSMB6",1112
"KRTCAP2",1113
"C14orf166",1114
"NDUFB1",1121
"EMC6",1124
"POLR2F",1126
"COMMD6",1132
"OAZ1",1135
"SF3B5",1136
"ATP5L",1147
"MRPL20",1149
"RPL24",1151
"RPS29",1153
"LIN37",1157
"LINC00493",1160
"RPL36",1162
"SERF2.1",1175
"C14orf119",1179
"ATP5G2",1181
"FKBP2",1182
"NDUFC1",1183
"C16orf13",1184
"C11orf31",1188
"PLK3",1194
"MAFF",1195
"TEK",1197
"CAD",1203
"NOL10",1205
"URB2",1206
"CACTIN",1211
"E2F2",1213
"HAT1",1217
"NOC2L",1219
"XRCC3",1220
"CTPS1",1225
"FKBP8",1226
"ZNF460",1227
"PRRC2B",1230
"SON",1231
"ZFX",1232
"CD6",1233
"ZBTB33",1234
"KTN1.AS1",1235
"ABCC6P1",1238
"ABCC6P2",1241
"FAM228B",1243
"HCP5",1244
"ABCC10",1245
"CHEK1",1246
"RBM14",1248
"CDCA5",1249
"KIF4A",1250
"SASS6",1251
"WDR43",1252
"MSH6",1262
"DNMT1",1270
"BVES",1271
"PHF2",1273
"SFT2D2",1276
"ZNF619",1283
"CREBRF",1285
"RBM12",1286
"KIAA1211L",1287
"SBDSP1",1288
"NTN5",1290
"POM121L1P",1292
"ZNF763",1293
"ANKRD36",1294
"SEPT7P2",1295
"RP11.436I24.1",1298
"CSAD",1301
"R3HDML",1302
"BTBD18",1304
"SGK494",1307
"RPL32P3",1310
"SLC26A7",1311
"RIMKLB",1314
"VCP",1315
"DCAF4L1",1317
"TBC1D4",1322
"ACHE",1324
"GKN2",1325
"COL4A4",1326
"ASXL2",1328
"HERC1",1330
"BIRC6",1331
"SZT2",1332
"TAOK1",1333
"KMT2C",1335
"HERC2",1337
"EP400",1338
"VPS13D",1485
"RBM15",1486
"DENND1B",1490
"TRIP12",1492
"ZNF41",1494
"ZXDC",1495
"PRDM15",1496
"REL",1497
"ZNF484",1499
"AKAP8L",1500
"FBXL2",1501
"SPTBN5",1503
"LPHN3",1505
"ZNF621",1506
"DISC1",1511
"PROX1",1513
"NKD1",1514
"ATP6V0D2",1515
"GADD45GIP1",1516
"MIF",1518
"MRP63",1519
"MRPL36",1521
"FAM104B",1523
"TMEM256",1524
"ALKBH7",1525
"MRPL11",1526
"CEP57L1",1527
"ALDH3B2",1529
"VSTM2L",1530
"KCNJ6",1533
"RGAG4",1534
"CLECL1",1535
"C6orf203",1539
"COLCA2",1540
"PLXNC1",1541
"CHMP1A",1542
"C19orf18",1543
"SPRR1B",1544
"PLEKHM1",1545
"EGLN2",767
"TBX19",1038
"ATP5A1",1174
"C12orf65",1546
"BMPR1A",564
"LYPD5",616
"CSDE1",739
"ARL4A",831
"YTHDC1",949
"SETD1B",1228
"DDX49",1274
"BTN3A3",1510
"C5orf22",939
"ATP13A3",952
"LMTK2",966
"PTPN13",993
"QTRT1",1158
"MORF4L1",1216
"PPM1M",430
"BLOC1S3",474
"ATP5S",761
"AK4",801
"C11orf73",1070
"C11orf30",1072
"TANC1",1087
"MKX",1258
"CXCR4",1284
"PSMB8",53
"OXT",505
"ADORA2A",591
"MFN1",710
"TOMM5",780
"MGP",925
"ADAM28",957
"AP3S2",1223
"NRD1",1498
"SPN",1509
"ETV7",77
"BOC",748
"USH2A",825
"GPR113",861
"PABPN1",871
"HIST2H4A.6",940
"EPB41L4A.AS1",1242
"CABLES2",1309
"VASH2",412
"SRCRB4D",723
"GLTPD2",758
"LUC7L3",1083
"TRMT13",1122
"WASH7P",459
"CICP27",913
"ATRX",1001
"PPP1R3E",1024
"HBEGF",1069
"VPRBP",1110
"ADTRP",1214
"FAXC",1091
"SF3B2",1143
"AC093323.3",1504
"ADD3",397
"N4BP3",928
"AHNAK",1052
"PRR4",1098
"SYTL1",1169
"TAPT1.AS1",1257
"RNASEK.C17orf49",1282
"DSTN",511
"SP100",745
"HIST1H2AG.3",816
"CPA6",1011
"TF",1057
"YEATS2",1171
"ABHD16A",629
"RPL23A",849
"RPL37A",1043
"POP5",1133
"CTU1",965
"MRPS18C",1209
"TPI1",1222
"AKIP1",1502
"NIFK",799
"HCFC1R1",1012
"NCKAP1",1050
"CYB561",1166
"EIF3B",786
"POLR3E",1116
"RSG1",1239
"HPS6",1321
"MAU2",1538
"GSK3B",529
"C3AR1",577
"STAT1",677
"ZIM2",1033
"C22orf29",1176
"MAZ",1296
"ZNF124",487
"CDC45",711
"POLRMT",736
"MAGI2",788
"MCAM",915
"BTG2",1247
"MAP6",1537
"POLR1A",556
"ABCA5",670
"AFTPH",686
"MDK",815
"C17orf50",987
"WDR27",990
"ZNF160",1318
"ZNF780B",1123
"THOC1",1177
"FBXL13",636
"C6orf58",705
"DUOX2",791
"SMOC1",887
"AASDHPPT",1048
"PIK3R4",1522
"MAP3K7",1280
"BDP1",1507
"ACAP2",967
"BCLAF1",1192
"CDK5RAP2",504
"SENP2",568
"TOPBP1",592
"KIF2A",869
"XPOT",126
"ATP8B3",229
"MTMR1",763
