"Genes","Rank"
"LOC387646",55
"CHRND",148
"LOC728264",276
"MIR145",369
"CAPN8",439
"SLC10A7",535
"FOXN3",643
"TMEM215",651
"QARS",653
"TMEM188",732
"POU2F1",749
"RFPL1S",813
"TPSD1",927
"CNTD2",77
"ARL4D",628
"C22orf33",811
"FLJ30679",328
"MAP1LC3B2",913
"TSGA13",112
"CCDC18",926
"ANKRD30A",482
"ACTN3",814
"ZNF625",816
"PRG3",705
"GPBAR1",155
"MFSD1",113
"ACOX3",526
"SHH",704
"CC2D1B",289
"SPDYA",524
"WNT11",948
"ZNF480",223
"NFATC2",334
"MS4A14",303
"CCT8L2",182
"CST5",576
"SRC",352
"TNNT2",506
"HOMER1",849
"MAOB",730
"TCERG1",910
"RASSF6",15
"GON4L",54
"WDR1",518
"CPEB1",387
"C6orf165",461
"ERMAP",404
"ANKRD52",49
"KCNG3",711
"RPS6KA6",136
"CLASP1",754
"ELOVL5",1
"HPVC1",585
"C5orf42",548
"PARVG",33
"SEMG2",28
"MED21",32
"MRPL48",152
"PTP4A1",384
"C6orf136",904
"EPN3",771
"CABLES1",159
"FOXJ1",314
"C7orf34",431
"PARD6B",69
"MRGPRX3",169
"ZNF593",92
"ADAMTS20",898
"SLC17A7",359
"C1orf105",454
"KRT24",522
"HTA",44
"USP42",737
"TMEM111",101
"C10orf91",900
"GLIS1",127
"CREM",228
"OXR1",133
"APOBEC3F",627
"CDC42EP5",582
"KCNH3",176
"MYH8",513
"TEAD3",631
"ZMAT3",2
"CD55",299
"BAD",843
"CGN",283
"FRAT1",594
"PUM1",844
"LOC100133957",580
"ATP6AP2",497
"TMEM204",575
"RNF25",872
"ARTN",177
"HRASLS",396
"HUNK",460
"ATP2B3",354
"CMTM5",427
"HIST1H4F",473
"CCL26",617
"EPS8L2",785
"C14orf182",86
"LIMA1",273
"KCNJ1",660
"MIR487B",794
"MIR539",625
"ZNF800",432
"KIAA0922",446
"ADRA1A",561
"PIM2",604
"ETS2",871
"CMKLR1",16
"PDE11A",274
"SOX18",309
"FABP1",593
"SYP",761
"HTATSF1",236
"SUSD5",452
"GTF2H1",88
"IL18R1",282
"CRNKL1",733
"ZNF322B",430
"RPS24",759
"SLC39A14",12
"THYN1",757
"FLT1",917
"MYST4",933
"IL1R1",701
"PCDHAC1",417
"LRP1B",458
"BMP8A",887
"TNKS2",110
"CMTM7",253
"GPR135",333
"SRGAP1",553
"PIK3C2G",645
"C6orf225",147
"SLAIN2",648
"KRT1",241
"KRTAP23.1",649
"DGKD",215
"NDP",365
"ALDH1A1",569
"GPC3",850
"C14orf34",587
"PFKFB3",540
"CDH12",769
"SYT8",82
"KIAA0317",378
"FAM26D",831
"FAM45B",219
"RPL3",421
"CBR4",529
"RGAG4",445
"PTGER2",499
"POU4F2",544
"MEP1A",798
"RALGPS1",825
"DEFA6",877
"RAMP1",376
"PROCA1",620
"OLFM3",716
"DGKA",412
"ESM1",891
"ATP6V0A2",906
"WNT7A",237
"PLCH1",295
"KCNE3",833
"ST6GALNAC2",675
"TADA2B",527
"TARSL2",924
"TLX3",93
"C1orf77",175
"HERC1",353
"VMO1",402
"ELFN2",834
"NLGN4Y",941
"SORCS3",99
"SAPS1",242
"PCDHGC4",472
"C1QTNF4",755
"LOC100190939",807
"C6orf103",408
"BAI1",423
"TDRD10",505
"BCORL1",554
"CLK2",863
"INSM2",79
"CCDC60",164
"OR2M4",949
"RNF19A",64
"TNFRSF11B",515
"FAM150B",609
"MIR505",772
"C1QTNF8",779
"COX6C",787
"CLCN1",245
"C6orf27",512
"TM4SF1",48
"ZNF710",266
"PCMT1",570
"C10orf96",751
"PAR1",235
"BRD4",171
"ACCN1",558
"SCGB1D2",818
"RAB6C",951
"OR3A4",525
"WWP1",543
"HMGB3",222
"ACOT9",474
"SSBP2",592
"DIP2C",646
"ANKS1A",96
"SUNC1",240
"DLX2",559
"APEX2",571
"BAT1",163
"ARID1A",191
"ERP29",395
"TMEM116",655
"CBX8",830
"DAB2IP",867
"AKAP12",596
"ZBTB39",702
"KRTAP20.3",822
"TCF7L2",23
"GPSM3",928
"SHISA7",63
"PSTPIP1",73
"NAALADL1",673
"CNR1",399
"SIM1",574
"GPR112",848
"CAPZA3",34
"ANKRD43",129
"ATP11A",264
"KANK2",153
"OPN1LW",623
"CD46",907
"PLEKHH3",200
"CA8",784
"RAC1",172
"NR2E1",230
"NPY5R",371
"EFHD1",381
"SAPS3",385
"ERC2",547
"SGCD",338
"COX7B",415
"UCHL1",760
"KLHL35",108
"ZNF449",377
"FBLN5",728
"OR2T34",747
"NAPA",87
"RAB2A",199
"VTI1A",214
"TAS1R2",370
"SLC6A18",879
"CCT5",541
"FAM173B",599
"HBM",621
"HIST2H2BA",680
"GABBR2",708
"ABCC1",173
"PHF15",654
"C1orf57",923
"ITGA9",165
"TSTA3",851
"RBM20",670
"KHDRBS1",775
"EN2",366
"TMEM217",498
"CLDN5",624
"PCYT1A",661
"NKAPL",663
"FCER1A",285
"BAIAP2L1",91
"SOHLH1",217
"ISM2",389
"SOD3",531
"ZNF212",610
"TCEA2",19
"BTBD9",337
"MRPS24",393
"PPP4C",612
"C17orf105",750
"GNAI1",781
"PSG5",858
"KCNRG",29
"DHX9",193
"SRI",350
"STUB1",436
"NOX1",679
"GLB1L2",846
"ARF1",7
"OR5A1",81
"LOC91948",318
"ZNF827",542
"GORASP2",921
"ANKS4B",26
"PRR14",143
"TAC1",398
"LALBA",686
"PSCA",724
"AHDC1",154
"ARRDC2",304
"PPYR1",852
"IRF7",885
"GDF7",244
"TMCO7",425
"HOXA2",538
"TUSC1",146
"C1QL3",161
"PYGO1",940
"TULP1",440
"C7orf71",892
"CHRNE",443
"AMOTL1",815
"FES",549
"SLC16A12",693
"CCNY",862
"EFCAB6",881
"RFC3",25
"NKX2.6",97
"DNAJC13",100
"REG3A",392
"FOXF1",433
"ADAMTSL3",40
"SPAG4L",186
"OR6B2",204
"KLC2",416
"MGMT",466
"GBF1",748
"ZMAT4",803
"ARHGDIB",806
"RNFT2",57
"HAS1",111
"LOC729176",257
"MST1P9",342
"MLLT1",405
"BMP6",83
"DYRK2",317
"ZIK1",386
"SLC2A14",590
"MRPL23",768
"SEPHS1",931
"SLC25A27",75
"CTDSP2",84
"ISG20",167
"INPP5B",486
"SOBP",611
"SCN8A",98
"RRBP1",194
"TMEM170A",671
"FAM83E",902
"P2RY6",41
"C8orf75",435
"C1orf38",690
"MYLK4",699
"RALYL",740
"SP1",790
"EEF1DP3",56
"FGF11",667
"C20orf46",840
"FAM41AY1",212
"FAM41AY2",418
"GLIPR1L1",467
"ANKRD13B",880
"MOG",300
"RNU5E",491
"TGFBI",856
"NUP98",202
"H2AFY",321
"SLC26A7",450
"LOC100129534",231
"NRIP1",508
"ZZEF1",581
"SLC29A1",695
"C5orf30",753
"ZNF727",903
"ALDH3B2",297
"SULT1C4",715
"MADD",489
"POLA1",503
"ZNF628",635
"CDH2",341
"ZNF681",349
"P4HB",380
"SNORD115.8",719
"RASGRP1",644
"FAIM3",662
"C10orf104",756
"NCRNA00032",878
"TFEB",947
"ANKRD20B",43
"ASB12",46
"PRRG3",530
"THAP6",564
"RCHY1",776
"C7orf58",783
"CYB5R1",899
"PSMD4",952
"MIR212",536
"LMNB2",363
"KTN1",478
"RNF126P1",770
"TMEM47",901
"ICK",107
"RASL10B",291
"GNGT1",320
"RIMS4",692
"SEMA5B",722
"GKN2",774
"PCDHGA8",789
"SERPINB10",30
"B4GALT7",121
"CYP26C1",324
"CECR6",347
"PRR5",379
"CASR",448
"SERP2",664
"ITGB3",726
"GPR25",773
"TPTE",845
"SLC30A8",8
"MYO18A",31
"PDGFA",70
"MTERF",373
"MIR628",52
"B3GALT5",72
"CLEC1A",307
"KIF2B",447
"C2orf66",462
"FAM89A",734
"TSKU",62
"SLC37A1",85
"FAM59A",213
"ANXA2P3",357
"FOXD4L1",545
"SELI",827
"HSD17B1",942
"RPL30",137
"SBSN",767
"KCNA10",268
"FBXO24",270
"C16orf78",254
"ZDHHC3",233
"MFSD10",296
"C8orf48",676
"CORT",286
"GHSR",442
"CD28",470
"C4orf10",842
"MGAT5B",572
"PDZD3",786
"SIDT1",912
"USH1C",39
"EXOC7",37
"C19orf57",836
"NME6",50
"PER2",128
"KIF18B",229
"DVL1",566
"SETDB1",946
"SOX9",168
"PDZD2",469
"TRIM61",765
"C7orf53",246
